context_tokens,gpu_model,deployment,model,tp_size,dp_size,ep_size,parallelism,target_fraction,sweet_total_concurrency,sweet_batch_per_dp_group,peak_throughput_tokens_per_s,sweet_throughput_tokens_per_s,sweet_normalized_throughput,dominant_time_at_sweet
32768,A100,A100x72,Llama-3.3-70B,4,18,1,TP4/DP18/EP1,0.95,234,13,13410.89870876703,13212.874082439299,0.9852340524950592,weight
65536,A100,A100x72,Llama-3.3-70B,4,18,1,TP4/DP18/EP1,0.9,108,6,6705.485945607804,6098.249576510446,0.9094418549195369,weight
65536,A100,A100x72,Llama-3.3-70B,4,18,1,TP4/DP18/EP1,0.95,126,7,6705.485945607804,6684.1792445802885,0.9968224971015752,kv
131072,A100,A100x72,Llama-3.3-70B,4,18,1,TP4/DP18/EP1,0.9,54,3,3352.7521206848523,3049.124788255223,0.9094393735354319,weight
131072,A100,A100x72,Llama-3.3-70B,4,18,1,TP4/DP18/EP1,0.95,72,4,3352.7521206848523,3343.4198614356046,0.9972165376641857,kv
262144,A100,A100x72,Llama-3.3-70B,4,18,1,TP4/DP18/EP1,0.9,36,2,1676.378347322024,1671.7099307178023,0.9972151772231612,kv
262144,A100,A100x72,Llama-3.3-70B,4,18,1,TP4/DP18/EP1,0.95,36,2,1676.378347322024,1671.7099307178023,0.9972151772231612,kv
524288,A100,A100x72,Llama-3.3-70B,4,18,1,TP4/DP18/EP1,0.9,18,1,838.1897454070813,835.8549653589012,0.9972144970026492,kv
524288,A100,A100x72,Llama-3.3-70B,4,18,1,TP4/DP18/EP1,0.95,18,1,838.1897454070813,835.8549653589012,0.9972144970026492,kv
1048576,A100,A100x72,Llama-3.3-70B,4,18,1,TP4/DP18/EP1,0.9,18,1,419.0950156402043,418.5105061538232,0.9986053055642091,kv
1048576,A100,A100x72,Llama-3.3-70B,4,18,1,TP4/DP18/EP1,0.95,18,1,419.0950156402043,418.5105061538232,0.9986053055642091,kv
8192,A100,A100x72,Llama-3.3-70B,8,9,1,TP8/DP9/EP1,0.9,432,48,53637.155587780726,48457.655636567586,0.9034344775659002,weight
8192,A100,A100x72,Llama-3.3-70B,8,9,1,TP8/DP9/EP1,0.95,459,51,53637.155587780726,51486.25911385306,0.959899132413769,weight
16384,A100,A100x72,Llama-3.3-70B,8,9,1,TP8/DP9/EP1,0.9,216,24,26820.333856414745,24228.827818283793,0.9033753251542345,weight
