model,domain,runs,success_rate,avg_traj_messages,avg_tool_actuations,avg_tool_results,avg_error_recovery_events,avg_S0_events,avg_S1_events,avg_S2_events,avg_S3_events,avg_S4_events,avg_S5_events,avg_S6_events,avg_S7_events,avg_S8_events
claude-3.5-sonnet,airline,400,0.46,25.37,6.9,6.69,1.1,0.0,1.0,5.78,0.0,10.8,6.9,6.69,1.1,1.0
claude-3.5-sonnet,retail,920,0.692,29.44,7.7,7.17,1.36,0.0,1.0,7.02,0.0,12.89,7.7,7.17,1.36,1.0
gpt-4o,airline,200,0.42,26.54,5.82,5.46,0.47,0.0,1.0,7.45,0.0,12.17,5.82,5.46,0.47,1.0
gpt-4o,retail,460,0.604,30.54,7.12,6.52,0.97,0.0,1.0,8.15,0.0,13.9,7.12,6.52,0.97,1.0
