stage_id,stage_name,metric,run_stage_count,nonzero_ratio,sum,mean,p50,p95,max
S6,environment_result_wait,tool_payload_bytes,37941,0.0,0.0,0.0,0.0,0.0,0.0
S7,feedback_error_recovery,context_bytes,16543,0.0,0.0,0.0,0.0,0.0,0.0
S7,feedback_error_recovery,event_count,16543,1.0,62925.0,3.803723629329626,2.0,11.0,190.0
S7,feedback_error_recovery,llm_total_tokens,16543,0.0,0.0,0.0,0.0,0.0,0.0
S7,feedback_error_recovery,recovery_count,16543,1.0,111237.0,6.724112917850451,4.0,20.0,190.0
S7,feedback_error_recovery,runtime_log_bytes,16543,0.0,0.0,0.0,0.0,0.0,0.0
S7,feedback_error_recovery,screenshot_bytes,16543,0.0,0.0,0.0,0.0,0.0,0.0
S7,feedback_error_recovery,tool_call_count,16543,0.0,0.0,0.0,0.0,0.0,0.0
S7,feedback_error_recovery,tool_payload_bytes,16543,0.0,0.0,0.0,0.0,0.0,0.0
S8,validation_finalization,context_bytes,36754,0.0,0.0,0.0,0.0,0.0,0.0
S8,validation_finalization,event_count,36754,1.0,59191.0,1.6104641671654787,2.0,3.0,6.0
S8,validation_finalization,llm_total_tokens,36754,0.0,0.0,0.0,0.0,0.0,0.0
S8,validation_finalization,recovery_count,36754,0.0,0.0,0.0,0.0,0.0,0.0
S8,validation_finalization,runtime_log_bytes,36754,0.4024051803885291,988251451.0,26888.269331229254,0.0,148205.6999999999,1392693.0
S8,validation_finalization,screenshot_bytes,36754,0.0,0.0,0.0,0.0,0.0,0.0
S8,validation_finalization,tool_call_count,36754,0.0,0.0,0.0,0.0,0.0,0.0
S8,validation_finalization,tool_payload_bytes,36754,0.0,0.0,0.0,0.0,0.0,0.0
