model,active_params_b,layers,hidden_size,kv_heads,head_dim,kv_bytes_per_token_bf16,source,gpu,compute_tflops,gpu_source,tp_sizes,bandwidth_range_gb_s,read_time,prefill_time,threshold_definition,tp_note
Qwen3-Coder-480B-A35B,35.0,62,6144,8,128,253952,Qwen3-Coder-480B-A35B public config/model card and local model_node_kv_thresholds table,T4,65.0,NVIDIA T4 public specs,"1,2,4,8",50..900 step 50,N * (kv_bytes_per_token / TP) / bandwidth,N * (2 * active_params / TP) / compute + N^2 * (4 * layers * hidden_size / TP) / compute,minimum context length N where reading existing sharded KV cache is no slower than recomputing KV by prefill,Ideal TP sharding makes this threshold TP-invariant unless communication or unsharded KV traffic is modeled.
Qwen3-Coder-480B-A35B,35.0,62,6144,8,128,253952,Qwen3-Coder-480B-A35B public config/model card and local model_node_kv_thresholds table,L4,121.0,NVIDIA L4 public specs,"1,2,4,8",50..900 step 50,N * (kv_bytes_per_token / TP) / bandwidth,N * (2 * active_params / TP) / compute + N^2 * (4 * layers * hidden_size / TP) / compute,minimum context length N where reading existing sharded KV cache is no slower than recomputing KV by prefill,Ideal TP sharding makes this threshold TP-invariant unless communication or unsharded KV traffic is modeled.
Qwen3-Coder-480B-A35B,35.0,62,6144,8,128,253952,Qwen3-Coder-480B-A35B public config/model card and local model_node_kv_thresholds table,A30,165.0,NVIDIA A30 public specs,"1,2,4,8",50..900 step 50,N * (kv_bytes_per_token / TP) / bandwidth,N * (2 * active_params / TP) / compute + N^2 * (4 * layers * hidden_size / TP) / compute,minimum context length N where reading existing sharded KV cache is no slower than recomputing KV by prefill,Ideal TP sharding makes this threshold TP-invariant unless communication or unsharded KV traffic is modeled.
Qwen3-Coder-480B-A35B,35.0,62,6144,8,128,253952,Qwen3-Coder-480B-A35B public config/model card and local model_node_kv_thresholds table,A100/A800,312.0,NVIDIA A100/A800-class public specs,"1,2,4,8",50..900 step 50,N * (kv_bytes_per_token / TP) / bandwidth,N * (2 * active_params / TP) / compute + N^2 * (4 * layers * hidden_size / TP) / compute,minimum context length N where reading existing sharded KV cache is no slower than recomputing KV by prefill,Ideal TP sharding makes this threshold TP-invariant unless communication or unsharded KV traffic is modeled.
Qwen3-Coder-480B-A35B,35.0,62,6144,8,128,253952,Qwen3-Coder-480B-A35B public config/model card and local model_node_kv_thresholds table,L40S,362.0,NVIDIA L40S public specs,"1,2,4,8",50..900 step 50,N * (kv_bytes_per_token / TP) / bandwidth,N * (2 * active_params / TP) / compute + N^2 * (4 * layers * hidden_size / TP) / compute,minimum context length N where reading existing sharded KV cache is no slower than recomputing KV by prefill,Ideal TP sharding makes this threshold TP-invariant unless communication or unsharded KV traffic is modeled.
Qwen3-Coder-480B-A35B,35.0,62,6144,8,128,253952,Qwen3-Coder-480B-A35B public config/model card and local model_node_kv_thresholds table,H100/H800,989.0,NVIDIA H100/H800-class public specs,"1,2,4,8",50..900 step 50,N * (kv_bytes_per_token / TP) / bandwidth,N * (2 * active_params / TP) / compute + N^2 * (4 * layers * hidden_size / TP) / compute,minimum context length N where reading existing sharded KV cache is no slower than recomputing KV by prefill,Ideal TP sharding makes this threshold TP-invariant unless communication or unsharded KV traffic is modeled.
Qwen3-Coder-480B-A35B,35.0,62,6144,8,128,253952,Qwen3-Coder-480B-A35B public config/model card and local model_node_kv_thresholds table,H200,989.0,NVIDIA H200 public specs,"1,2,4,8",50..900 step 50,N * (kv_bytes_per_token / TP) / bandwidth,N * (2 * active_params / TP) / compute + N^2 * (4 * layers * hidden_size / TP) / compute,minimum context length N where reading existing sharded KV cache is no slower than recomputing KV by prefill,Ideal TP sharding makes this threshold TP-invariant unless communication or unsharded KV traffic is modeled.
Qwen3-Coder-480B-A35B,35.0,62,6144,8,128,253952,Qwen3-Coder-480B-A35B public config/model card and local model_node_kv_thresholds table,B200,2250.0,NVIDIA B200 public specs,"1,2,4,8",50..900 step 50,N * (kv_bytes_per_token / TP) / bandwidth,N * (2 * active_params / TP) / compute + N^2 * (4 * layers * hidden_size / TP) / compute,minimum context length N where reading existing sharded KV cache is no slower than recomputing KV by prefill,Ideal TP sharding makes this threshold TP-invariant unless communication or unsharded KV traffic is modeled.
