model,tp_size,gpu,compute_tflops,bandwidth_gb_s,context_threshold_tokens
Qwen3-Coder-480B-A35B,8,L4,121.0,550,1.0
Qwen3-Coder-480B-A35B,8,L4,121.0,600,1.0
Qwen3-Coder-480B-A35B,8,L4,121.0,650,1.0
Qwen3-Coder-480B-A35B,8,L4,121.0,700,1.0
Qwen3-Coder-480B-A35B,8,L4,121.0,750,1.0
Qwen3-Coder-480B-A35B,8,L4,121.0,800,1.0
Qwen3-Coder-480B-A35B,8,L4,121.0,850,1.0
Qwen3-Coder-480B-A35B,8,L4,121.0,900,1.0
Qwen3-Coder-480B-A35B,8,A30,165.0,50,1.0
Qwen3-Coder-480B-A35B,8,A30,165.0,100,1.0
Qwen3-Coder-480B-A35B,8,A30,165.0,150,1.0
Qwen3-Coder-480B-A35B,8,A30,165.0,200,1.0
Qwen3-Coder-480B-A35B,8,A30,165.0,250,1.0
Qwen3-Coder-480B-A35B,8,A30,165.0,300,1.0
Qwen3-Coder-480B-A35B,8,A30,165.0,350,1.0
Qwen3-Coder-480B-A35B,8,A30,165.0,400,1.0
Qwen3-Coder-480B-A35B,8,A30,165.0,450,1.0
Qwen3-Coder-480B-A35B,8,A30,165.0,500,1.0
Qwen3-Coder-480B-A35B,8,A30,165.0,550,1.0
Qwen3-Coder-480B-A35B,8,A30,165.0,600,1.0
Qwen3-Coder-480B-A35B,8,A30,165.0,650,1.0
Qwen3-Coder-480B-A35B,8,A30,165.0,700,1.0
Qwen3-Coder-480B-A35B,8,A30,165.0,750,1.0
Qwen3-Coder-480B-A35B,8,A30,165.0,800,1.0
Qwen3-Coder-480B-A35B,8,A30,165.0,850,1.0
Qwen3-Coder-480B-A35B,8,A30,165.0,900,1.0
Qwen3-Coder-480B-A35B,8,A100/A800,312.0,50,1.0
Qwen3-Coder-480B-A35B,8,A100/A800,312.0,100,1.0
Qwen3-Coder-480B-A35B,8,A100/A800,312.0,150,1.0
Qwen3-Coder-480B-A35B,8,A100/A800,312.0,200,1.0
Qwen3-Coder-480B-A35B,8,A100/A800,312.0,250,1.0
Qwen3-Coder-480B-A35B,8,A100/A800,312.0,300,1.0
Qwen3-Coder-480B-A35B,8,A100/A800,312.0,350,1.0
Qwen3-Coder-480B-A35B,8,A100/A800,312.0,400,1.0
Qwen3-Coder-480B-A35B,8,A100/A800,312.0,450,1.0
Qwen3-Coder-480B-A35B,8,A100/A800,312.0,500,1.0
Qwen3-Coder-480B-A35B,8,A100/A800,312.0,550,1.0
Qwen3-Coder-480B-A35B,8,A100/A800,312.0,600,1.0
Qwen3-Coder-480B-A35B,8,A100/A800,312.0,650,1.0
Qwen3-Coder-480B-A35B,8,A100/A800,312.0,700,1.0
Qwen3-Coder-480B-A35B,8,A100/A800,312.0,750,1.0
Qwen3-Coder-480B-A35B,8,A100/A800,312.0,800,1.0
Qwen3-Coder-480B-A35B,8,A100/A800,312.0,850,1.0
Qwen3-Coder-480B-A35B,8,A100/A800,312.0,900,1.0
Qwen3-Coder-480B-A35B,8,L40S,362.0,50,1.0
Qwen3-Coder-480B-A35B,8,L40S,362.0,100,1.0
Qwen3-Coder-480B-A35B,8,L40S,362.0,150,1.0
Qwen3-Coder-480B-A35B,8,L40S,362.0,200,1.0
Qwen3-Coder-480B-A35B,8,L40S,362.0,250,1.0
Qwen3-Coder-480B-A35B,8,L40S,362.0,300,1.0
Qwen3-Coder-480B-A35B,8,L40S,362.0,350,1.0
Qwen3-Coder-480B-A35B,8,L40S,362.0,400,1.0
Qwen3-Coder-480B-A35B,8,L40S,362.0,450,1.0
Qwen3-Coder-480B-A35B,8,L40S,362.0,500,1.0
Qwen3-Coder-480B-A35B,8,L40S,362.0,550,1.0
Qwen3-Coder-480B-A35B,8,L40S,362.0,600,1.0
Qwen3-Coder-480B-A35B,8,L40S,362.0,650,1.0
Qwen3-Coder-480B-A35B,8,L40S,362.0,700,1.0
Qwen3-Coder-480B-A35B,8,L40S,362.0,750,1.0
Qwen3-Coder-480B-A35B,8,L40S,362.0,800,1.0
Qwen3-Coder-480B-A35B,8,L40S,362.0,850,1.0
Qwen3-Coder-480B-A35B,8,L40S,362.0,900,1.0
Qwen3-Coder-480B-A35B,8,H100/H800,989.0,50,1.0
Qwen3-Coder-480B-A35B,8,H100/H800,989.0,100,1.0
Qwen3-Coder-480B-A35B,8,H100/H800,989.0,150,1.0
Qwen3-Coder-480B-A35B,8,H100/H800,989.0,200,1.0
Qwen3-Coder-480B-A35B,8,H100/H800,989.0,250,1.0
Qwen3-Coder-480B-A35B,8,H100/H800,989.0,300,1.0
Qwen3-Coder-480B-A35B,8,H100/H800,989.0,350,1.0
Qwen3-Coder-480B-A35B,8,H100/H800,989.0,400,1.0
Qwen3-Coder-480B-A35B,8,H100/H800,989.0,450,1.0
Qwen3-Coder-480B-A35B,8,H100/H800,989.0,500,1.0
Qwen3-Coder-480B-A35B,8,H100/H800,989.0,550,1.0
Qwen3-Coder-480B-A35B,8,H100/H800,989.0,600,1.0
Qwen3-Coder-480B-A35B,8,H100/H800,989.0,650,1.0
Qwen3-Coder-480B-A35B,8,H100/H800,989.0,700,1.0
Qwen3-Coder-480B-A35B,8,H100/H800,989.0,750,1.0
Qwen3-Coder-480B-A35B,8,H100/H800,989.0,800,1.0
Qwen3-Coder-480B-A35B,8,H100/H800,989.0,850,1.0
Qwen3-Coder-480B-A35B,8,H100/H800,989.0,900,1.0
Qwen3-Coder-480B-A35B,8,H200,989.0,50,1.0
Qwen3-Coder-480B-A35B,8,H200,989.0,100,1.0
Qwen3-Coder-480B-A35B,8,H200,989.0,150,1.0
Qwen3-Coder-480B-A35B,8,H200,989.0,200,1.0
Qwen3-Coder-480B-A35B,8,H200,989.0,250,1.0
Qwen3-Coder-480B-A35B,8,H200,989.0,300,1.0
Qwen3-Coder-480B-A35B,8,H200,989.0,350,1.0
Qwen3-Coder-480B-A35B,8,H200,989.0,400,1.0
Qwen3-Coder-480B-A35B,8,H200,989.0,450,1.0
Qwen3-Coder-480B-A35B,8,H200,989.0,500,1.0
Qwen3-Coder-480B-A35B,8,H200,989.0,550,1.0
Qwen3-Coder-480B-A35B,8,H200,989.0,600,1.0
Qwen3-Coder-480B-A35B,8,H200,989.0,650,1.0
Qwen3-Coder-480B-A35B,8,H200,989.0,700,1.0
Qwen3-Coder-480B-A35B,8,H200,989.0,750,1.0
Qwen3-Coder-480B-A35B,8,H200,989.0,800,1.0
Qwen3-Coder-480B-A35B,8,H200,989.0,850,1.0
Qwen3-Coder-480B-A35B,8,H200,989.0,900,1.0
Qwen3-Coder-480B-A35B,8,B200,2250.0,50,1.0
Qwen3-Coder-480B-A35B,8,B200,2250.0,100,1.0
Qwen3-Coder-480B-A35B,8,B200,2250.0,150,1.0
Qwen3-Coder-480B-A35B,8,B200,2250.0,200,1.0
Qwen3-Coder-480B-A35B,8,B200,2250.0,250,1.0
Qwen3-Coder-480B-A35B,8,B200,2250.0,300,1.0
Qwen3-Coder-480B-A35B,8,B200,2250.0,350,1.0
Qwen3-Coder-480B-A35B,8,B200,2250.0,400,1.0
Qwen3-Coder-480B-A35B,8,B200,2250.0,450,1.0
Qwen3-Coder-480B-A35B,8,B200,2250.0,500,1.0
Qwen3-Coder-480B-A35B,8,B200,2250.0,550,1.0
Qwen3-Coder-480B-A35B,8,B200,2250.0,600,1.0
Qwen3-Coder-480B-A35B,8,B200,2250.0,650,1.0
Qwen3-Coder-480B-A35B,8,B200,2250.0,700,1.0
Qwen3-Coder-480B-A35B,8,B200,2250.0,750,1.0
Qwen3-Coder-480B-A35B,8,B200,2250.0,800,1.0
Qwen3-Coder-480B-A35B,8,B200,2250.0,850,1.0
Qwen3-Coder-480B-A35B,8,B200,2250.0,900,1.0
